"sampleid","success","total","ok_rate","p_value_adjusted"
-90,780,1000,0.78,0.329606021081193
-80,791,1000,0.791,1
-70,803,1000,0.803,1
-60,789,1000,0.789,1
-50,819,1000,0.819,1
-40,777,1000,0.777,0.166642966420509
-30,800,1000,0.8,1
-20,790,1000,0.79,1
-10,782,1000,0.782,0.50451965937368
0,797,1000,0.797,1
10,779,1000,0.779,0.264105560017492
20,756,1000,0.756,0.000504960608001911
30,767,1000,0.767,0.0133277304945988
40,758,1000,0.758,0.000866702816862687
50,749,1000,0.749,4.2916924446192e-05
60,731,1000,0.731,2.38262347873393e-08
70,727,1000,0.727,3.03037523729543e-09
80,619,1000,0.619,1.42471440065129e-43
90,485,1000,0.485,6.26159735989136e-116
