"rep","gen","fwte","avw","min_w","avtes","avpopfreq","fixed","fwcli","avcli","fixcli","avbias","sampleid","pc","avcli_trans"
1,0,1,1,1,100,0,0,0.12,0.13,0,-90,"-90",0.162513542795233,-3.25135427952329
2,0,1,1,1,100,0,0,0.14,0.15,0,-90,"-90",0.162513542795233,-1.25135427952329
3,0,1,1,1,100,0,0,0.17,0.18,0,-90,"-90",0.162513542795233,1.74864572047671
4,0,1,1,1,100,0,0,0.16,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
5,0,1,1,1,100,0,0,0.17,0.19,0,-90,"-90",0.162513542795233,2.74864572047671
6,0,1,1,1,100,0,0,0.14,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
7,0,1,1,1,100,0,0,0.15,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
8,0,1,1,1,100,0,0,0.15,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
9,0,1,1,1,100,0,0,0.16,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
10,0,1,1,1,100,0,0,0.14,0.15,0,-90,"-90",0.162513542795233,-1.25135427952329
11,0,1,1,1,100,0,0,0.14,0.15,0,-90,"-90",0.162513542795233,-1.25135427952329
12,0,1,1,1,100,0,0,0.15,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
13,0,1,1,1,100,0,0,0.15,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
14,0,1,1,1,100,0,0,0.15,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
15,0,1,1,1,100,0,0,0.17,0.18,0,-90,"-90",0.162513542795233,1.74864572047671
16,0,1,1,1,100,0,0,0.14,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
17,0,1,1,1,100,0,0,0.14,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
18,0,1,1,1,100,0,0,0.13,0.14,0,-90,"-90",0.162513542795233,-2.25135427952329
19,0,1,1,1,100,0,0,0.16,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
20,0,1,1,1,100,0,0,0.15,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
21,0,1,1,1,100,0,0,0.15,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
22,0,1,1,1,100,0,0,0.16,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
23,0,1,1,1,100,0,0,0.16,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
24,0,1,1,1,100,0,0,0.15,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
25,0,1,1,1,100,0,0,0.15,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
26,0,1,1,1,100,0,0,0.14,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
27,0,1,1,1,100,0,0,0.16,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
28,0,1,1,1,100,0,0,0.17,0.18,0,-90,"-90",0.162513542795233,1.74864572047671
29,0,1,1,1,100,0,0,0.16,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
30,0,1,1,1,100,0,0,0.17,0.18,0,-90,"-90",0.162513542795233,1.74864572047671
31,0,1,1,1,100,0,0,0.15,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
32,0,1,1,1,100,0,0,0.14,0.15,0,-90,"-90",0.162513542795233,-1.25135427952329
33,0,1,1,1,100,0,0,0.16,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
34,0,1,1,1,100,0,0,0.16,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
35,0,1,1,1,100,0,0,0.14,0.15,0,-90,"-90",0.162513542795233,-1.25135427952329
36,0,1,1,1,100,0,0,0.16,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
37,0,1,1,1,100,0,0,0.14,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
38,0,1,1,1,100,0,0,0.14,0.15,0,-90,"-90",0.162513542795233,-1.25135427952329
39,0,1,1,1,100,0,0,0.15,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
40,0,1,1,1,100,0,0,0.13,0.14,0,-90,"-90",0.162513542795233,-2.25135427952329
41,0,1,1,1,100,0,0,0.15,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
42,0,1,1,1,100,0,0,0.13,0.15,0,-90,"-90",0.162513542795233,-1.25135427952329
43,0,1,1,1,100,0,0,0.15,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
44,0,1,1,1,100,0,0,0.18,0.19,0,-90,"-90",0.162513542795233,2.74864572047671
45,0,1,1,1,100,0,0,0.16,0.18,0,-90,"-90",0.162513542795233,1.74864572047671
46,0,1,1,1,100,0,0,0.16,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
47,0,1,1,1,100,0,0,0.15,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
48,0,1,1,1,100,0,0,0.16,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
49,0,1,1,1,100,0,0,0.15,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
50,0,1,1,1,100,0,0,0.14,0.15,0,-90,"-90",0.162513542795233,-1.25135427952329
51,0,1,1,1,100,0,0,0.14,0.15,0,-90,"-90",0.162513542795233,-1.25135427952329
52,0,1,1,1,100,0,0,0.16,0.18,0,-90,"-90",0.162513542795233,1.74864572047671
53,0,1,1,1,100,0,0,0.16,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
54,0,1,1,1,100,0,0,0.14,0.15,0,-90,"-90",0.162513542795233,-1.25135427952329
55,0,1,1,1,100,0,0,0.14,0.15,0,-90,"-90",0.162513542795233,-1.25135427952329
56,0,1,1,1,100,0,0,0.15,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
57,0,1,1,1,100,0,0,0.13,0.15,0,-90,"-90",0.162513542795233,-1.25135427952329
58,0,1,1,1,100,0,0,0.15,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
59,0,1,1,1,100,0,0,0.14,0.15,0,-90,"-90",0.162513542795233,-1.25135427952329
60,0,1,1,1,100,0,0,0.15,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
61,0,1,1,1,100,0,0,0.18,0.2,0,-90,"-90",0.162513542795233,3.74864572047671
62,0,1,1,1,100,0,0,0.14,0.15,0,-90,"-90",0.162513542795233,-1.25135427952329
63,0,1,1,1,100,0,0,0.15,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
64,0,1,1,1,100,0,0,0.17,0.18,0,-90,"-90",0.162513542795233,1.74864572047671
65,0,1,1,1,100,0,0,0.15,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
66,0,1,1,1,100,0,0,0.14,0.15,0,-90,"-90",0.162513542795233,-1.25135427952329
67,0,1,1,1,100,0,0,0.15,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
68,0,1,1,1,100,0,0,0.14,0.15,0,-90,"-90",0.162513542795233,-1.25135427952329
69,0,1,1,1,100,0,0,0.13,0.14,0,-90,"-90",0.162513542795233,-2.25135427952329
70,0,1,1,1,100,0,0,0.14,0.15,0,-90,"-90",0.162513542795233,-1.25135427952329
71,0,1,1,1,100,0,0,0.14,0.15,0,-90,"-90",0.162513542795233,-1.25135427952329
72,0,1,1,1,100,0,0,0.16,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
73,0,1,1,1,100,0,0,0.13,0.14,0,-90,"-90",0.162513542795233,-2.25135427952329
74,0,1,1,1,100,0,0,0.16,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
75,0,1,1,1,100,0,0,0.13,0.14,0,-90,"-90",0.162513542795233,-2.25135427952329
76,0,1,1,1,100,0,0,0.15,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
77,0,1,1,1,100,0,0,0.14,0.15,0,-90,"-90",0.162513542795233,-1.25135427952329
78,0,1,1,1,100,0,0,0.13,0.14,0,-90,"-90",0.162513542795233,-2.25135427952329
79,0,1,1,1,100,0,0,0.15,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
80,0,1,1,1,100,0,0,0.15,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
81,0,1,1,1,100,0,0,0.16,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
82,0,1,1,1,100,0,0,0.15,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
83,0,1,1,1,100,0,0,0.18,0.19,0,-90,"-90",0.162513542795233,2.74864572047671
84,0,1,1,1,100,0,0,0.14,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
85,0,1,1,1,100,0,0,0.15,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
86,0,1,1,1,100,0,0,0.14,0.15,0,-90,"-90",0.162513542795233,-1.25135427952329
87,0,1,1,1,100,0,0,0.15,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
88,0,1,1,1,100,0,0,0.14,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
89,0,1,1,1,100,0,0,0.14,0.15,0,-90,"-90",0.162513542795233,-1.25135427952329
90,0,1,1,1,100,0,0,0.14,0.15,0,-90,"-90",0.162513542795233,-1.25135427952329
91,0,1,1,1,100,0,0,0.16,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
92,0,1,1,1,100,0,0,0.15,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
93,0,1,1,1,100,0,0,0.17,0.19,0,-90,"-90",0.162513542795233,2.74864572047671
94,0,1,1,1,100,0,0,0.15,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
95,0,1,1,1,100,0,0,0.15,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
96,0,1,1,1,100,0,0,0.13,0.14,0,-90,"-90",0.162513542795233,-2.25135427952329
97,0,1,1,1,100,0,0,0.14,0.15,0,-90,"-90",0.162513542795233,-1.25135427952329
98,0,1,1,1,100,0,0,0.15,0.16,0,-90,"-90",0.162513542795233,-0.251354279523289
99,0,1,1,1,100,0,0,0.14,0.15,0,-90,"-90",0.162513542795233,-1.25135427952329
100,0,1,1,1,100,0,0,0.15,0.17,0,-90,"-90",0.162513542795233,0.748645720476712
1,0,1,1,1,100,0,0,0.29,0.35,0,-80,"-80",0.342465753424657,0.753424657534257
2,0,1,1,1,100,0,0,0.3,0.35,0,-80,"-80",0.342465753424657,0.753424657534257
3,0,1,1,1,100,0,0,0.28,0.33,0,-80,"-80",0.342465753424657,-1.24657534246574
4,0,1,1,1,100,0,0,0.28,0.32,0,-80,"-80",0.342465753424657,-2.24657534246574
5,0,1,1,1,100,0,0,0.29,0.34,0,-80,"-80",0.342465753424657,-0.246575342465738
6,0,1,1,1,100,0,0,0.3,0.35,0,-80,"-80",0.342465753424657,0.753424657534257
7,0,1,1,1,100,0,0,0.3,0.35,0,-80,"-80",0.342465753424657,0.753424657534257
8,0,1,1,1,100,0,0,0.28,0.34,0,-80,"-80",0.342465753424657,-0.246575342465738
9,0,1,1,1,100,0,0,0.31,0.36,0,-80,"-80",0.342465753424657,1.75342465753426
10,0,1,1,1,100,0,0,0.29,0.34,0,-80,"-80",0.342465753424657,-0.246575342465738
